epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,5.5939,0.2575,5.1461,0.2755,0.2689
1,head,4.3943,0.3095,4.2475,0.2984,0.2975
2,head,3.7718,0.3437,3.9023,0.3078,0.3091
3,full,2.1425,0.5129,1.1892,0.6089,0.6089
4,full,0.7177,0.7491,0.7124,0.7487,0.7478
5,full,0.4115,0.8509,0.6874,0.7849,0.7826
6,full,0.2562,0.9149,0.6665,0.7970,0.7926
7,full,0.1779,0.9417,0.6316,0.8185,0.8178
8,full,0.1474,0.9468,0.6395,0.8159,0.8146
9,full,0.1189,0.9570,0.6713,0.8185,0.8188
10,full,0.1023,0.9636,0.7069,0.8253,0.8247
11,full,0.1037,0.9587,0.7434,0.8118,0.8152
12,full,0.0786,0.9721,0.6950,0.8253,0.8250
13,full,0.0802,0.9724,0.7669,0.8145,0.8126
14,full,0.0740,0.9744,0.6902,0.8508,0.8504
15,full,0.0663,0.9767,0.6761,0.8320,0.8323
16,full,0.0576,0.9798,0.6984,0.8387,0.8394
17,full,0.0637,0.9798,0.5961,0.8548,0.8545
18,full,0.0604,0.9815,0.7288,0.8293,0.8264
19,full,0.0536,0.9821,0.5689,0.8669,0.8672
20,full,0.0454,0.9849,0.7352,0.8508,0.8498
21,full,0.0476,0.9849,0.7614,0.8481,0.8475
22,full,0.0505,0.9821,0.6421,0.8495,0.8493
23,full,0.0534,0.9835,0.6991,0.8548,0.8552
24,full,0.0459,0.9858,0.6707,0.8427,0.8435
25,full,0.0340,0.9858,0.7408,0.8602,0.8610
