epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,2.8846,0.2438,2.6665,0.2352,0.2360
1,head,2.2788,0.3055,2.3349,0.2702,0.2713
2,head,2.0386,0.3257,2.1531,0.2970,0.2943
3,full,1.5877,0.4413,1.4601,0.4825,0.4569
4,full,1.0083,0.6228,1.0650,0.6062,0.5922
5,full,0.7408,0.7334,0.8001,0.7083,0.7082
6,full,0.5864,0.7775,0.9585,0.6788,0.6760
7,full,0.4914,0.8156,0.9285,0.6989,0.6999
8,full,0.4086,0.8543,0.7824,0.7366,0.7419
9,full,0.3261,0.8797,0.9082,0.7285,0.7272
10,full,0.2888,0.8899,1.0271,0.6882,0.6887
11,full,0.2230,0.9183,0.8672,0.7406,0.7381
12,full,0.1987,0.9260,1.9423,0.5954,0.5585
13,full,0.2075,0.9297,0.9550,0.7487,0.7479
14,full,0.1745,0.9374,0.8844,0.7621,0.7606
15,full,0.1629,0.9425,0.8197,0.7944,0.7944
16,full,0.1392,0.9505,0.8294,0.7688,0.7669
17,full,0.1474,0.9485,0.8601,0.7823,0.7836
18,full,0.1367,0.9499,0.7936,0.7890,0.7866
19,full,0.1311,0.9573,0.9063,0.7984,0.7940
20,full,0.1164,0.9582,0.8843,0.7890,0.7859
21,full,0.1008,0.9653,0.8666,0.7876,0.7871
