epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5755,0.2836,1.5395,0.3185,0.2936
1,head,1.4998,0.3727,1.4912,0.3777,0.3567
2,head,1.4390,0.4250,1.4630,0.3938,0.3853
3,full,1.3447,0.4754,1.3341,0.4704,0.4565
4,full,1.1906,0.5545,1.1919,0.5390,0.5300
5,full,1.0262,0.6225,1.0395,0.6062,0.6017
6,full,0.8873,0.6657,0.9265,0.6613,0.6538
7,full,0.7476,0.7235,0.8140,0.6868,0.6843
8,full,0.6414,0.7727,0.7443,0.7083,0.7053
9,full,0.5485,0.8083,0.6823,0.7419,0.7415
10,full,0.4621,0.8333,0.6555,0.7661,0.7641
11,full,0.4029,0.8552,0.6389,0.7782,0.7769
12,full,0.3468,0.8760,0.6176,0.7809,0.7800
13,full,0.3023,0.8922,0.6000,0.7917,0.7914
14,full,0.2696,0.9036,0.6325,0.7809,0.7814
15,full,0.2173,0.9280,0.6027,0.7903,0.7901
16,full,0.1806,0.9405,0.6222,0.7984,0.7980
17,full,0.1696,0.9471,0.6180,0.8105,0.8100
18,full,0.1513,0.9482,0.6482,0.7957,0.7969
19,full,0.1113,0.9644,0.6296,0.7984,0.7976
20,full,0.1096,0.9642,0.6211,0.8145,0.8142
21,full,0.1007,0.9690,0.6216,0.7970,0.7965
22,full,0.0912,0.9704,0.6135,0.8105,0.8117
23,full,0.0698,0.9795,0.6546,0.8051,0.8056
24,full,0.0766,0.9792,0.6470,0.8038,0.8053
25,full,0.0591,0.9801,0.6519,0.8159,0.8158
26,full,0.0620,0.9798,0.6519,0.8239,0.8240
27,full,0.0649,0.9804,0.6967,0.8118,0.8108
28,full,0.0549,0.9835,0.6706,0.8239,0.8241
29,full,0.0406,0.9886,0.7026,0.8159,0.8167
