epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5351,0.3132,1.4738,0.3441,0.2977
1,head,1.4159,0.4009,1.3679,0.4435,0.4384
2,head,1.3599,0.4415,1.3638,0.4422,0.4209
3,full,1.3107,0.4563,1.0527,0.5833,0.5897
4,full,0.8579,0.6743,0.7000,0.7634,0.7632
5,full,0.6163,0.7664,0.7025,0.7621,0.7407
6,full,0.4669,0.8324,0.5538,0.7796,0.7820
7,full,0.3521,0.8765,0.6263,0.7997,0.7987
8,full,0.3127,0.8885,0.6359,0.8172,0.8185
9,full,0.2586,0.9075,0.6897,0.7634,0.7689
10,full,0.2221,0.9223,0.6119,0.8132,0.8128
11,full,0.2101,0.9326,0.6747,0.8306,0.8325
12,full,0.1708,0.9371,0.8157,0.7836,0.7852
13,full,0.1948,0.9354,0.7274,0.8226,0.8233
14,full,0.1709,0.9405,0.7175,0.8065,0.8068
15,full,0.1385,0.9505,0.8855,0.7957,0.7942
16,full,0.1246,0.9531,0.6433,0.8333,0.8332
17,full,0.1252,0.9562,0.8436,0.8185,0.8187
18,full,0.1122,0.9610,0.6926,0.8333,0.8358
19,full,0.1146,0.9582,0.7766,0.8306,0.8299
20,full,0.1173,0.9587,0.6425,0.8333,0.8339
21,full,0.1146,0.9599,0.6791,0.8347,0.8345
22,full,0.1032,0.9627,0.8744,0.8132,0.8153
23,full,0.0865,0.9724,0.8067,0.8078,0.8067
24,full,0.0942,0.9664,0.7084,0.8239,0.8237
