epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,5.8174,0.2606,4.9632,0.2755,0.2745
1,head,4.5287,0.3149,4.3344,0.3038,0.3021
2,head,3.7662,0.3576,3.9496,0.3306,0.3282
3,full,2.4574,0.4669,1.3821,0.5820,0.5761
4,full,0.4851,0.8324,1.3232,0.6478,0.6454
5,full,0.2371,0.9178,1.2390,0.6815,0.6811
6,full,0.1497,0.9459,1.3068,0.6962,0.6972
7,full,0.1193,0.9607,1.4216,0.6815,0.6762
8,full,0.0899,0.9673,1.3317,0.7258,0.7253
9,full,0.0730,0.9733,1.3668,0.7298,0.7286
10,full,0.0750,0.9735,1.3000,0.7151,0.7122
11,full,0.0776,0.9730,1.0726,0.7513,0.7514
12,full,0.0621,0.9798,1.1889,0.7379,0.7405
13,full,0.0590,0.9832,1.1175,0.7325,0.7326
14,full,0.0558,0.9784,1.1911,0.7379,0.7391
15,full,0.0459,0.9846,1.0482,0.7460,0.7450
16,full,0.0362,0.9875,1.2742,0.7352,0.7334
17,full,0.0325,0.9883,1.3139,0.7406,0.7405
