epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5698,0.2908,1.5206,0.3562,0.3259
1,head,1.4775,0.3858,1.4802,0.3898,0.3753
2,head,1.4203,0.4364,1.4465,0.4005,0.3905
3,full,1.3127,0.4962,1.3055,0.4745,0.4709
4,full,1.0667,0.6137,1.1669,0.5497,0.5426
5,full,0.8179,0.7269,1.0873,0.5887,0.5871
6,full,0.5823,0.8179,1.0113,0.6142,0.6124
7,full,0.3718,0.9010,1.0593,0.6129,0.6119
8,full,0.2121,0.9528,1.0215,0.6465,0.6474
9,full,0.1122,0.9818,1.0840,0.6425,0.6402
10,full,0.0673,0.9858,1.1970,0.6425,0.6374
11,full,0.0355,0.9946,1.2668,0.6452,0.6408
12,full,0.0223,0.9972,1.2440,0.6613,0.6629
13,full,0.0237,0.9946,1.2633,0.6761,0.6774
14,full,0.0250,0.9943,1.2945,0.6653,0.6635
15,full,0.0153,0.9966,1.3890,0.6640,0.6666
16,full,0.0141,0.9969,1.4121,0.6667,0.6651
17,full,0.0110,0.9977,1.4353,0.6640,0.6622
18,full,0.0123,0.9980,1.4300,0.6667,0.6665
19,full,0.0140,0.9957,1.4408,0.6815,0.6813
20,full,0.0110,0.9974,1.5205,0.6492,0.6475
21,full,0.0163,0.9946,1.5060,0.6680,0.6685
22,full,0.0095,0.9969,1.5230,0.6747,0.6757
23,full,0.0098,0.9972,1.6159,0.6599,0.6583
24,full,0.0107,0.9969,1.6664,0.6707,0.6692
25,full,0.0085,0.9974,1.6078,0.6694,0.6668
