epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,3.0665,0.2233,2.9597,0.2151,0.2067
1,head,2.3971,0.2788,2.5013,0.2540,0.2462
2,head,2.1352,0.3036,2.2423,0.2917,0.2878
3,full,1.7676,0.3952,1.5907,0.4274,0.3995
4,full,1.2161,0.5522,1.2822,0.5067,0.4901
5,full,0.9573,0.6398,1.0048,0.6183,0.6097
6,full,0.7512,0.7206,0.8563,0.6815,0.6822
7,full,0.6309,0.7673,1.1846,0.6371,0.6224
8,full,0.5114,0.8134,0.7893,0.7433,0.7420
9,full,0.4562,0.8356,1.1189,0.6371,0.6290
10,full,0.4079,0.8478,0.8092,0.7487,0.7501
11,full,0.3512,0.8780,0.8709,0.7016,0.7042
12,full,0.3008,0.8905,0.7539,0.7621,0.7615
13,full,0.2923,0.8999,0.8890,0.7312,0.7297
14,full,0.2531,0.9129,0.8287,0.7527,0.7499
15,full,0.2502,0.9141,0.8825,0.7339,0.7290
16,full,0.2228,0.9226,0.9997,0.7460,0.7476
17,full,0.1960,0.9292,0.8246,0.7863,0.7866
18,full,0.1778,0.9357,0.9075,0.7554,0.7543
19,full,0.1816,0.9411,1.0241,0.7339,0.7408
20,full,0.1748,0.9385,0.9227,0.7836,0.7845
21,full,0.1488,0.9474,0.9233,0.7957,0.7937
22,full,0.1412,0.9479,0.8848,0.7970,0.7978
23,full,0.1284,0.9528,0.8499,0.8038,0.8047
24,full,0.1362,0.9511,1.0128,0.7715,0.7708
25,full,0.1424,0.9471,1.0042,0.7769,0.7743
26,full,0.1301,0.9531,0.8312,0.7997,0.7994
27,full,0.1263,0.9579,0.8866,0.7796,0.7804
28,full,0.1111,0.9602,0.8267,0.7997,0.7990
29,full,0.1025,0.9650,0.8989,0.7876,0.7871
