model,preprocess,test_accuracy,macro_f1,macro_precision,macro_recall,best_val_macro_f1,seed,epochs_run,train_seconds
resnet50,D1,0.6855600539811066,0.6826886577223411,0.6848597496525477,0.6859009464553273,0.7200063923333996,2025,30,2146.0
resnet50,D2,0.7368421052631579,0.7369341367419178,0.7373952276845366,0.7370281700289973,0.7157735618536746,2025,20,1430.7
resnet50,D3,0.8582995951417004,0.8587929356296179,0.8625445506907436,0.8584195761450519,0.8377533863734019,2025,30,2227.5
resnet50,D4,0.8259109311740891,0.8255901626623032,0.8281889076848243,0.8261224403589026,0.8250112824320588,2025,30,2230.9
efficientnetv2s,D1,0.766531713900135,0.7653074118423453,0.7727550987348242,0.7667684601030192,0.7699523055366048,2025,23,1892.0
efficientnetv2s,D2,0.854251012145749,0.8555239278761118,0.8579761423000198,0.8543829155992435,0.8559762850460524,2025,30,2483.5
efficientnetv2s,D3,0.8839406207827261,0.8837368639710966,0.8851945006302582,0.8841243238273669,0.8833149894125523,2025,30,2574.1
efficientnetv2s,D4,0.8704453441295547,0.8704573545735107,0.8740673919117032,0.8707570400224626,0.873221096507848,2025,27,2011.7
mobilenetv3small,D1,0.699055330634278,0.6982883759810148,0.699191255988884,0.6991393940598685,0.6731909889381823,2025,30,1408.6
mobilenetv3small,D2,0.7840755735492577,0.783639282856651,0.785538817540745,0.7843643542411586,0.7660497633326884,2025,27,1282.3
mobilenetv3small,D3,0.8016194331983806,0.8023577712395198,0.8061831800837714,0.8016028117848473,0.7785631851615028,2025,21,1055.9
mobilenetv3small,D4,0.8205128205128205,0.8221341404439997,0.8279411580218131,0.8207159167993957,0.8046525125803429,2025,30,1507.6
swint,D1,0.7219973009446694,0.7225563052094375,0.7263354980545309,0.722032978091634,0.7187796660604377,2025,21,1464.5
swint,D2,0.7935222672064778,0.7926802529154015,0.7963723042491901,0.7940814861013445,0.7925884625130446,2025,15,1029.8
swint,D3,0.863697705802969,0.8637594959792632,0.867386846412526,0.8639625145049437,0.843277897539178,2025,21,1468.2
swint,D4,0.8515519568151148,0.851330282780574,0.8518156193688109,0.8517712803361419,0.8479052640618793,2025,25,1839.9
