epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5382,0.3104,1.4596,0.3777,0.3431
1,head,1.4251,0.3943,1.3833,0.4220,0.4155
2,head,1.3810,0.4179,1.3525,0.4382,0.4326
3,full,1.3396,0.4432,1.1581,0.5578,0.5406
4,full,0.9306,0.6319,0.8371,0.6855,0.6779
5,full,0.7086,0.7329,0.9504,0.6573,0.6519
6,full,0.5555,0.7952,0.6078,0.7849,0.7836
7,full,0.4340,0.8452,0.6243,0.7742,0.7735
8,full,0.3854,0.8637,0.6519,0.7890,0.7864
9,full,0.3253,0.8873,0.6140,0.7957,0.7951
10,full,0.2780,0.9001,0.6018,0.7957,0.7971
11,full,0.2492,0.9115,0.8123,0.7675,0.7628
12,full,0.2183,0.9203,0.6690,0.7984,0.8002
13,full,0.1888,0.9289,0.7446,0.7608,0.7546
14,full,0.1940,0.9314,0.4830,0.8427,0.8433
15,full,0.1957,0.9343,0.6016,0.8199,0.8195
16,full,0.1685,0.9434,0.7483,0.7849,0.7839
17,full,0.1615,0.9434,0.6860,0.8145,0.8106
18,full,0.1427,0.9505,0.6074,0.8253,0.8257
19,full,0.1561,0.9488,0.6718,0.8091,0.8113
20,full,0.1258,0.9556,0.5758,0.8414,0.8407
