epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,5.6086,0.2509,4.7886,0.2742,0.2718
1,head,4.3347,0.3038,4.1892,0.3132,0.3132
2,head,3.6511,0.3474,3.8722,0.3132,0.3140
3,full,2.0020,0.5138,1.0343,0.6411,0.6425
4,full,0.4760,0.8410,0.9168,0.7231,0.7243
5,full,0.2370,0.9181,0.8955,0.7554,0.7536
6,full,0.1510,0.9479,0.9016,0.7460,0.7443
7,full,0.1223,0.9599,0.8469,0.7648,0.7626
8,full,0.0926,0.9707,0.6881,0.7944,0.7923
9,full,0.0821,0.9730,0.8115,0.7836,0.7825
10,full,0.0634,0.9755,0.8211,0.8105,0.8095
11,full,0.0518,0.9829,0.7683,0.8172,0.8169
12,full,0.0532,0.9824,0.7428,0.8253,0.8255
13,full,0.0469,0.9826,0.9649,0.8132,0.8120
14,full,0.0475,0.9829,1.0051,0.8159,0.8146
15,full,0.0377,0.9900,0.8080,0.8212,0.8215
16,full,0.0417,0.9866,0.7590,0.8360,0.8364
17,full,0.0429,0.9861,0.8280,0.8306,0.8319
18,full,0.0330,0.9889,0.9800,0.8320,0.8315
19,full,0.0326,0.9895,0.8981,0.8024,0.8058
20,full,0.0263,0.9898,0.8982,0.8132,0.8140
21,full,0.0314,0.9883,0.8456,0.8320,0.8313
22,full,0.0353,0.9920,0.6428,0.8535,0.8525
23,full,0.0238,0.9915,0.9566,0.8105,0.8120
24,full,0.0244,0.9926,1.0055,0.8118,0.8113
25,full,0.0328,0.9900,0.7811,0.8280,0.8302
26,full,0.0254,0.9920,0.8849,0.8387,0.8388
27,full,0.0235,0.9932,0.9191,0.8414,0.8415
28,full,0.0319,0.9898,1.0868,0.8105,0.8117
