epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,2.8791,0.2376,2.6019,0.2406,0.2412
1,head,2.2605,0.3047,2.2767,0.2849,0.2854
2,head,1.9781,0.3531,2.0772,0.3145,0.3136
3,full,1.5581,0.4592,1.2437,0.5108,0.5033
4,full,0.7998,0.6953,1.0236,0.6142,0.6057
5,full,0.4769,0.8262,1.0663,0.6465,0.6424
6,full,0.3080,0.8925,1.8377,0.5336,0.5126
7,full,0.2227,0.9172,1.0764,0.6922,0.6966
8,full,0.1443,0.9491,1.2193,0.6935,0.6946
9,full,0.1320,0.9556,1.1827,0.7083,0.7054
10,full,0.1175,0.9596,1.3114,0.7083,0.7032
11,full,0.0921,0.9676,1.6785,0.6384,0.6366
12,full,0.1333,0.9559,1.0666,0.7500,0.7473
13,full,0.0795,0.9701,1.2273,0.7258,0.7239
14,full,0.0970,0.9647,1.1097,0.7594,0.7591
15,full,0.0830,0.9704,1.2362,0.7540,0.7512
16,full,0.0708,0.9761,1.2551,0.7540,0.7585
17,full,0.0786,0.9755,1.7121,0.7097,0.7018
18,full,0.0799,0.9730,1.3675,0.7325,0.7297
19,full,0.0673,0.9755,1.1583,0.7567,0.7544
20,full,0.0849,0.9698,1.4600,0.7231,0.7197
