epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5767,0.2785,1.5439,0.3132,0.2786
1,head,1.5058,0.3562,1.4952,0.3629,0.3239
2,head,1.4557,0.4065,1.4686,0.3817,0.3705
3,full,1.3754,0.4578,1.3743,0.4395,0.4322
4,full,1.2619,0.5166,1.2571,0.5000,0.4958
5,full,1.1328,0.5741,1.1378,0.5497,0.5461
6,full,1.0164,0.6151,1.0368,0.5847,0.5809
7,full,0.8944,0.6694,0.9176,0.6505,0.6483
8,full,0.7661,0.7201,0.8368,0.6855,0.6793
9,full,0.6807,0.7536,0.8017,0.6855,0.6863
10,full,0.5915,0.7792,0.7245,0.7379,0.7366
11,full,0.5506,0.8020,0.7310,0.7312,0.7305
12,full,0.4818,0.8324,0.6726,0.7312,0.7313
13,full,0.4228,0.8504,0.6547,0.7715,0.7713
14,full,0.3730,0.8677,0.6477,0.7702,0.7736
15,full,0.3246,0.8908,0.6071,0.7755,0.7752
16,full,0.2968,0.8990,0.5830,0.7890,0.7897
17,full,0.2685,0.9078,0.5788,0.7917,0.7933
18,full,0.2582,0.9078,0.5866,0.8024,0.8034
19,full,0.2267,0.9201,0.6073,0.7944,0.7942
20,full,0.2045,0.9283,0.5804,0.8065,0.8060
21,full,0.1694,0.9465,0.5724,0.8172,0.8174
22,full,0.1741,0.9403,0.6006,0.8118,0.8137
23,full,0.1442,0.9505,0.6427,0.8024,0.8031
24,full,0.1406,0.9508,0.6488,0.7970,0.7985
25,full,0.1279,0.9568,0.6120,0.8078,0.8091
26,full,0.1148,0.9624,0.6501,0.8118,0.8132
27,full,0.1091,0.9642,0.6168,0.8145,0.8155
