model,preprocess,test_accuracy,macro_f1,macro_precision,macro_recall,best_val_macro_f1
resnet50,D1,0.680161943319838,0.6796233189561358,0.6798748098316146,0.6805412611287394,0.6966851884884672
resnet50,D2,0.7314439946018894,0.7326249379913643,0.7352045544313797,0.7315574147283258,0.7173397456874061
resnet50,D3,0.8313090418353576,0.8303706184975859,0.8315258243325975,0.8315267276102066,0.8173909070457862
resnet50,D4,0.8367071524966262,0.8364460027049601,0.8402436153849624,0.8369071609073447,0.8322415229062331
efficientnetv2s,D1,0.7786774628879892,0.780320851677465,0.7844106299281178,0.7787201608154077,0.7885148111843028
efficientnetv2s,D2,0.8340080971659919,0.8325760851910242,0.8353128083841621,0.8343952898379671,0.8525138718872599
efficientnetv2s,D3,0.8825910931174089,0.8816524575407749,0.8854383371843095,0.8827083680168171,0.8872256258746003
efficientnetv2s,D4,0.8690958164642375,0.8703314001657001,0.8749324489432672,0.8691480162703847,0.8697098018376147
mobilenetv3small,D1,0.6396761133603239,0.6364990052726079,0.63937463753949,0.6402357814282057,0.6704390486457413
mobilenetv3small,D2,0.7435897435897436,0.7431402186113291,0.7603237862078952,0.7443917117448422,0.75911620860482
mobilenetv3small,D3,0.8097165991902834,0.8074546409864867,0.8146865646544841,0.8103543554587039,0.7987229518341481
mobilenetv3small,D4,0.7908232118758435,0.7874768258312562,0.7917293441298925,0.7912408777261218,0.7823470355786418
swint,D1,0.7260458839406208,0.7266272562856676,0.7306538076256999,0.7263907973432658,0.7156792434605918
swint,D2,0.8043184885290149,0.8068569509283414,0.8261470056098457,0.8041056133820682,0.7902918145251062
swint,D3,0.8582995951417004,0.8586499252093465,0.8648895692435244,0.858427900181141,0.8489219070106679
swint,D4,0.8866396761133604,0.8877628439039981,0.8906857188187592,0.886624516398351,0.8643061079412441
