epoch,phase,train_loss,train_acc,val_loss,val_acc,val_macro_f1
0,head,1.5351,0.3132,1.4577,0.3616,0.3310
1,head,1.4115,0.4131,1.3665,0.4409,0.4327
2,head,1.3462,0.4432,1.3545,0.4462,0.4324
3,full,1.2500,0.4882,0.9973,0.5901,0.6006
4,full,0.6708,0.7496,0.8018,0.7460,0.7453
5,full,0.3360,0.8791,0.6060,0.7782,0.7806
6,full,0.2181,0.9257,0.7120,0.7567,0.7594
7,full,0.1645,0.9440,0.8421,0.7876,0.7903
8,full,0.1410,0.9545,0.8455,0.7823,0.7861
9,full,0.0948,0.9670,1.1956,0.7110,0.7070
10,full,0.1007,0.9673,0.7595,0.7796,0.7798
11,full,0.0875,0.9701,1.1784,0.7245,0.7291
12,full,0.0868,0.9647,1.3232,0.7312,0.7166
13,full,0.0732,0.9755,1.0139,0.7540,0.7566
