path,label,split
data\raw\heart\heart (798).jpg,heart,train
data\raw\heart\heart (555).jpg,heart,train
data\raw\heart\heart (904).jpg,heart,train
data\raw\heart\heart (929).jpg,heart,train
data\raw\heart\heart (128).jpg,heart,train
data\raw\heart\heart (533).jpg,heart,train
data\raw\heart\heart (175).jpg,heart,train
data\raw\heart\heart (774).jpg,heart,train
data\raw\heart\heart (417).jpg,heart,train
data\raw\heart\heart (57).jpg,heart,train
data\raw\heart\heart (264).jpg,heart,train
data\raw\heart\heart (827).jpg,heart,train
data\raw\heart\heart (475).jpg,heart,train
data\raw\heart\heart (652).jpg,heart,train
data\raw\heart\heart (712).jpg,heart,train
data\raw\heart\heart (55).jpg,heart,train
data\raw\heart\heart (783).jpg,heart,train
data\raw\heart\heart (142).jpg,heart,train
data\raw\heart\heart (758).jpg,heart,train
data\raw\heart\heart (400).jpg,heart,train
data\raw\heart\heart (503).jpg,heart,train
data\raw\heart\heart (81).jpg,heart,train
data\raw\heart\heart (413).jpg,heart,train
data\raw\heart\heart (519).jpg,heart,train
data\raw\heart\heart (659).jpg,heart,train
data\raw\heart\heart (527).jpg,heart,train
data\raw\heart\heart (651).jpg,heart,train
data\raw\heart\heart (598).jpg,heart,train
data\raw\heart\heart (427).jpg,heart,train
data\raw\heart\heart (792).jpg,heart,train
data\raw\heart\heart (666).jpg,heart,train
data\raw\heart\heart (945).jpg,heart,train
data\raw\heart\heart (816).jpg,heart,train
data\raw\heart\heart (545).jpg,heart,train
data\raw\heart\heart (930).jpg,heart,train
data\raw\heart\heart (430).jpg,heart,train
data\raw\heart\heart (635).jpg,heart,train
data\raw\heart\heart (747).jpg,heart,train
data\raw\heart\heart (146).jpg,heart,train
data\raw\heart\heart (482).jpg,heart,train
data\raw\heart\heart (149).jpg,heart,train
data\raw\heart\heart (336).jpg,heart,train
data\raw\heart\heart (794).jpg,heart,train
data\raw\heart\heart (265).jpg,heart,train
data\raw\heart\heart (518).jpg,heart,train
data\raw\heart\heart (809).jpg,heart,train
data\raw\heart\heart (255).jpg,heart,train
data\raw\heart\heart (233).jpg,heart,train
data\raw\heart\heart (766).jpg,heart,train
data\raw\heart\heart (20).jpg,heart,train
data\raw\heart\heart (484).jpg,heart,train
data\raw\heart\heart (968).jpg,heart,train
data\raw\heart\heart (114).jpg,heart,train
data\raw\heart\heart (269).jpg,heart,train
data\raw\heart\heart (471).jpg,heart,train
data\raw\heart\heart (629).jpg,heart,train
data\raw\heart\heart (699).jpg,heart,train
data\raw\heart\heart (786).jpg,heart,train
data\raw\heart\heart (298).jpg,heart,train
data\raw\heart\heart (626).jpg,heart,train
data\raw\heart\heart (621).jpg,heart,train
data\raw\heart\heart (368).jpg,heart,train
data\raw\heart\heart (673).jpg,heart,train
data\raw\heart\heart (446).jpg,heart,train
data\raw\heart\heart (426).jpg,heart,train
data\raw\heart\heart (890).jpg,heart,train
data\raw\heart\heart (4).jpg,heart,train
data\raw\heart\heart (112).jpg,heart,train
data\raw\heart\heart (280).jpg,heart,train
data\raw\heart\heart (10).jpg,heart,train
data\raw\heart\heart (132).jpg,heart,train
data\raw\heart\heart (36).jpg,heart,train
data\raw\heart\heart (542).jpg,heart,train
data\raw\heart\heart (320).jpg,heart,train
data\raw\heart\heart (554).jpg,heart,train
data\raw\heart\heart (905).jpg,heart,train
data\raw\heart\heart (740).jpg,heart,train
data\raw\heart\heart (900).jpg,heart,train
data\raw\heart\heart (167).jpg,heart,train
data\raw\heart\heart (919).jpg,heart,train
data\raw\heart\heart (811).jpg,heart,train
data\raw\heart\heart (556).jpg,heart,train
data\raw\heart\heart (258).jpg,heart,train
data\raw\heart\heart (857).jpg,heart,train
data\raw\heart\heart (279).jpg,heart,train
data\raw\heart\heart (788).jpg,heart,train
data\raw\heart\heart (917).jpg,heart,train
data\raw\heart\heart (362).jpg,heart,train
data\raw\heart\heart (583).jpg,heart,train
data\raw\heart\heart (12).jpg,heart,train
data\raw\heart\heart (723).jpg,heart,train
data\raw\heart\heart (288).jpg,heart,train
data\raw\heart\heart (480).jpg,heart,train
data\raw\heart\heart (574).jpg,heart,train
data\raw\heart\heart (129).jpg,heart,train
data\raw\heart\heart (934).jpg,heart,train
data\raw\heart\heart (457).jpg,heart,train
data\raw\heart\heart (645).jpg,heart,train
data\raw\heart\heart (367).jpg,heart,train
data\raw\heart\heart (862).jpg,heart,train
data\raw\heart\heart (70).jpg,heart,train
data\raw\heart\heart (352).jpg,heart,train
data\raw\heart\heart (944).jpg,heart,train
data\raw\heart\heart (949).jpg,heart,train
data\raw\heart\heart (644).jpg,heart,train
data\raw\heart\heart (962).jpg,heart,train
data\raw\heart\heart (94).jpg,heart,train
data\raw\heart\heart (757).jpg,heart,train
data\raw\heart\heart (357).jpg,heart,train
data\raw\heart\heart (573).jpg,heart,train
data\raw\heart\heart (825).jpg,heart,train
data\raw\heart\heart (304).jpg,heart,train
data\raw\heart\heart (491).jpg,heart,train
data\raw\heart\heart (123).jpg,heart,train
data\raw\heart\heart (435).jpg,heart,train
data\raw\heart\heart (836).jpg,heart,train
data\raw\heart\heart (383).jpg,heart,train
data\raw\heart\heart (602).jpg,heart,train
data\raw\heart\heart (315).jpg,heart,train
data\raw\heart\heart (232).jpg,heart,train
data\raw\heart\heart (563).jpg,heart,train
data\raw\heart\heart (474).jpg,heart,train
data\raw\heart\heart (693).jpg,heart,train
data\raw\heart\heart (277).jpg,heart,train
data\raw\heart\heart (625).jpg,heart,train
data\raw\heart\heart (391).jpg,heart,train
data\raw\heart\heart (84).jpg,heart,train
data\raw\heart\heart (730).jpg,heart,train
data\raw\heart\heart (953).jpg,heart,train
data\raw\heart\heart (562).jpg,heart,train
data\raw\heart\heart (877).jpg,heart,train
